Main_Account_ID,Main_Account_Name,Customer_type,Company_Status,Gross_Turnover,Amount,Invoice_count,Main_account_count,SKU_count,Cluster,Gross_Turnover_percluster,Amount_percluster,Invoice_count_percluster,Customer_count_percluster,GT_share%_incluster,Broadband and Internet Services,Business Solutions,Cloud and Hosting Services,Data and Analytics,Devices and Accessories,Digital Transformation Services,IoT and Smart Solutions,Mobile Services,Network and Infrastructure,Security and Privacy,Television and Entertainment,Cluster_Label
100015,Customer Group_2149,C,Normal,20902.4854,765,15,1,28,0,482424738.9238,44136513,177729,1886,0.0,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100022,Customer Group_1631,A-B,Normal,19854.412,2185,23,1,54,2,189788119.6013,15100916,63173,1405,0.01,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
100027,Customer Group_2392,D,Active,45232.890699999996,529,9,1,37,0,482424738.9238,44136513,177729,1886,0.01,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100040,Customer Group_2150,A-B,Normal,32395.947,248,5,1,7,0,482424738.9238,44136513,177729,1886,0.01,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100041,Customer Group_477,A-B,Normal,201433.7016,5701,20,1,243,0,482424738.9238,44136513,177729,1886,0.04,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100049,Customer Group_2730,A-B,Normal,25541.1268,669,9,1,13,1,54267509.927,6574665,16023,439,0.05,13.34,8.4,10.39,6.57,9.78,9.69,6.72,12.43,16.17,5.5,69.6,TV Focus
100052,Customer Group_1503,D,Normal,1213.3245,18,2,1,5,2,189788119.6013,15100916,63173,1405,0.0,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
100060,Customer Group_121,A-B,Normal,1355702.5957,89729,480,1,1507,0,482424738.9238,44136513,177729,1886,0.28,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100067,Customer Group_555,A-B,Normal,7330357.4981,31108,253,1,327,2,189788119.6013,15100916,63173,1405,3.86,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
100070,Customer Group_1209,A-B,Normal,950720.8997,116260,400,1,813,0,482424738.9238,44136513,177729,1886,0.2,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100094,Customer Group_2393,D,Normal,31018.6367,3207,26,1,37,0,482424738.9238,44136513,177729,1886,0.01,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100100,Customer Group_1427,D,Normal,8260.8236,14,4,1,6,1,54267509.927,6574665,16023,439,0.02,13.34,8.4,10.39,6.57,9.78,9.69,6.72,12.43,16.17,5.5,69.6,TV Focus
100130,Customer Group_3749,D,Normal,5584.3273,101,4,1,7,1,54267509.927,6574665,16023,439,0.01,13.34,8.4,10.39,6.57,9.78,9.69,6.72,12.43,16.17,5.5,69.6,TV Focus
100132,Customer Group_3219,D,Normal,796.4277,9,3,1,6,1,54267509.927,6574665,16023,439,0.0,13.34,8.4,10.39,6.57,9.78,9.69,6.72,12.43,16.17,5.5,69.6,TV Focus
10014,Customer Group_198,A-B,Active,24216.3212,4064,16,1,34,0,482424738.9238,44136513,177729,1886,0.01,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
